epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4796.57,2.06165,2.93398,1.63602,0.40061,0.347,0.31325,0.12952,2.12918,2.50924,1.76018,0.000666201,0.000666201,0.000666201
2,11717.8,2.09303,2.29028,1.68891,0.52821,0.37813,0.38961,0.16833,2.041,2.04271,1.64344,0.00126689,0.00126689,0.00126689
3,32173.5,2.0625,2.19431,1.69581,0.42916,0.44267,0.36046,0.15972,1.97318,2.05477,1.66761,0.00180158,0.00180158,0.00180158
4,35855.6,1.96672,2.05868,1.63746,0.51898,0.46393,0.44153,0.20526,1.89495,1.84093,1.5996,0.001703,0.001703,0.001703
5,39535.7,1.89883,1.94651,1.57724,0.59945,0.51481,0.52764,0.25292,1.85183,1.71273,1.54352,0.001604,0.001604,0.001604
6,43224.1,1.85089,1.82689,1.53621,0.57961,0.56036,0.54385,0.26706,1.7999,1.66984,1.5263,0.001505,0.001505,0.001505
7,46985.3,1.80964,1.76444,1.50598,0.62136,0.55697,0.57517,0.28906,1.74784,1.57587,1.46902,0.001406,0.001406,0.001406
8,50720.4,1.79169,1.7171,1.48181,0.6458,0.55809,0.59807,0.31091,1.74267,1.50061,1.46896,0.001307,0.001307,0.001307
9,54463,1.75128,1.65981,1.46385,0.68678,0.56939,0.61774,0.32358,1.69056,1.4686,1.45157,0.001208,0.001208,0.001208
10,58121,1.72635,1.61116,1.43991,0.67878,0.58846,0.6259,0.33357,1.68289,1.39938,1.42398,0.001109,0.001109,0.001109
11,61726.2,1.6865,1.4355,1.42835,0.6958,0.60972,0.65275,0.34214,1.70345,1.36693,1.42858,0.00101,0.00101,0.00101
12,65319.8,1.66224,1.38509,1.4185,0.73848,0.60896,0.66991,0.35849,1.69767,1.34512,1.41833,0.000911,0.000911,0.000911
13,68912.6,1.63605,1.33396,1.40892,0.70281,0.61948,0.67307,0.36781,1.65695,1.29316,1.40648,0.000812,0.000812,0.000812
14,72483.7,1.61867,1.30152,1.38399,0.70066,0.63402,0.67779,0.36989,1.62888,1.29745,1.38238,0.000713,0.000713,0.000713
15,76080.1,1.58476,1.2514,1.3565,0.74375,0.6325,0.69476,0.37825,1.65135,1.24881,1.38436,0.000614,0.000614,0.000614
16,79697.9,1.57179,1.20806,1.34775,0.73196,0.6325,0.69481,0.3833,1.61295,1.23734,1.36679,0.000515,0.000515,0.000515
17,83346.7,1.55707,1.17776,1.33711,0.75454,0.64692,0.71245,0.39643,1.59794,1.22043,1.35591,0.000416,0.000416,0.000416
18,87223.1,1.53443,1.1567,1.32052,0.76926,0.63793,0.7236,0.4062,1.57806,1.20028,1.33939,0.000317,0.000317,0.000317
19,91517.6,1.50447,1.11491,1.29723,0.76723,0.67426,0.73461,0.41587,1.5748,1.17513,1.32475,0.000218,0.000218,0.000218
20,95410.1,1.48315,1.09511,1.2849,0.772,0.67046,0.74239,0.42161,1.55433,1.15623,1.3253,0.000119,0.000119,0.000119
